Response ID,What year were you born?,What is your gender?,Which of the following best describes your industry?,Which of the following best describes your industry? (Detailed),Which of the following best describes your current occupation?,Which of the following best describes your current occupation? (Detailed),How many people are currently employed by your organisation?,Do you manage people as part of your current occupation?,Which of the following best describes your household?,How long have you been in your current job?,Metro / Regional,"Thinking about your current job, how much of your time did you spend remote working last year?",My organisation encouraged people to work remotely,My organisation was well prepared for me to work remotely,It was common for people in my organisation to work remotely,It was easy to get permission to work remotely,I could easily collaborate with colleagues when working remotely,I would recommend remote working to others,,,,
13,1994,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 6 and 12 months,Metro,100%,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
14,1970,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
15,1962,Female,Construction,Heavy and Civil Engineering Construction,Clerical and administrative ,Personal Assistants and Secretaries,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
16,1959,Male,Health Care and Social Assistance,Hospitals,Professionals,ICT Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
17,1971,Female,"Transport, Postal and Warehousing",Road Transport,Clerical and administrative ,Clerical and Office Support ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
18,1960,Male,Financial and Insurance Services,Finance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,,,,
19,1966,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
20,1969,Male,Public Administration and Safety,Public Administration,Community and personal service ,Protective Service ,More than 200,No,Couple with dependent children,More than 5 years,Metro,40%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,
21,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
22,1969,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
23,1959,Male,"Transport, Postal and Warehousing",Other Transport,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,80%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,,,,
24,1963,Male,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with no dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,,,,
25,1962,Male,Financial and Insurance Services,Finance,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,,,,
26,1965,Male,Accommodation and Food Services,Food and Beverage Services,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,,,,
27,1962,Female,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Other one family household,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,,,,
28,1963,Female,"Transport, Postal and Warehousing",Water Transport,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
29,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,40%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
30,1957,Male,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,I am the only employee,No,Single person,More than 5 years,Regional,50%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
31,1962,Male,Public Administration and Safety,Public Administration,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,
32,1958,Male,Financial and Insurance Services,Finance,Managers,Specialist Managers,More than 200,No,Couple with dependent children,More than 5 years,Metro,50%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,
33,1961,Male,Arts and Recreation Services,Sports and Recreation Activities,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
34,1959,Male,Information Media and Telecommunications,Broadcasting (except Internet),Managers,"Chief Executives, General Managers and Legislators",More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,20%,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,
35,1980,Female,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,More than 5 years,Metro,10%,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
36,1991,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Clerical and administrative ,Personal Assistants and Secretaries,More than 200,No,Single person,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
37,1973,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,40%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,,,,
38,1971,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,More than 200,No,Single person,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
39,1996,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Single person,Between 6 and 12 months,Metro,60%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
40,1975,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
41,1996,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,Between 20 and 199,Yes,Single person,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
42,1987,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,60%,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
43,1966,Female,Health Care and Social Assistance,Residential Care Services,Community and personal service ,Health and Welfare Support ,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,90%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,,,,
44,1976,Female,Retail Trade,Other Store-Based Retailing,Managers,Specialist Managers,Between 5 and 19,No,Single person,Between 1 and 5 years,Metro,10%,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,,,,
45,1967,Female,Other Services,Personal and Other Services,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,
46,1965,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
47,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
48,1964,Male,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Managers,Specialist Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
49,1978,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
50,1979,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Multiple family household,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
51,1974,Male,Manufacturing,Furniture and Other Manufacturing,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
52,1969,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,I am the only employee,No,Single person,More than 5 years,Regional,30%,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
53,1995,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,,,
54,1960,Female,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,
55,1985,Male,"Transport, Postal and Warehousing",Air and Space Transport,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,More than 5 years,Metro,10%,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,,,
56,1962,Male,Other Services,Repair and Maintenance,Technicians and trades ,Electrotechnology and Telecommunications Trades ,More than 200,No,Single person,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
57,1964,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,
58,1965,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Hospitality, Retail and Service Managers",More than 200,Yes,Single person,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,,,,
59,1988,Male,Accommodation and Food Services,Accommodation,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
60,1959,Male,Financial and Insurance Services,Finance,Professionals,"Legal, Social and Welfare Professionals",Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Regional,70%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
61,1966,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Managers,Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,
62,1960,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
63,1979,Female,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,Specialist Managers,Between 5 and 19,Yes,Multiple family household,Between 1 and 5 years,Metro,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,,,,
64,1966,Female,Other Services,Personal and Other Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,More than 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
65,1956,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,
66,1962,Female,Health Care and Social Assistance,Social Assistance Services,Professionals,"Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
67,1957,Male,Public Administration and Safety,Defence,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,70%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,
68,1986,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Single person,More than 5 years,Metro,60%,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,,,
69,1987,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Clerical and administrative ,Other Clerical and Administrative ,Between 1 and 4,No,Other one family household,Between 1 and 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
70,1964,Female,Retail Trade,Food Retailing,Professionals,ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
71,1961,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,
72,1987,Female,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,30%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,,,,
73,1959,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,No,Single person,More than 5 years,Metro,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
74,1985,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,10%,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
75,1985,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,90%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,
76,1992,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,Specialist Managers,Between 5 and 19,Yes,Single person,More than 5 years,Metro,50%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
77,1961,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Managers,Specialist Managers,I am the only employee,Yes,Single person,Between 1 and 5 years,Regional,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,,,
78,1973,Male,Financial and Insurance Services,Finance,Technicians and trades ,Electrotechnology and Telecommunications Trades ,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
79,1963,Female,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,I am the only employee,No,Couple with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,,
80,1968,Male,Information Media and Telecommunications,Library and Other Information Services,Professionals,Arts and Media Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
81,1961,Male,Manufacturing,Polymer Product and Rubber Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,,,
82,1968,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,50%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,,,
83,1964,Male,Public Administration and Safety,Public Administration,Community and personal service ,Health and Welfare Support ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,,,,
84,1969,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,
85,1968,Male,Manufacturing,Furniture and Other Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,20%,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,,,,
86,1965,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,30%,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,,,,
87,1964,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,,,,
88,1957,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
89,1970,Female,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,One  parent family with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,
90,1980,Male,Manufacturing,Food Product Manufacturing,Sales ,Sales Representatives and Agents,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
91,1974,Male,Education and Training,"Adult, Community and Other Education",Sales ,Sales Representatives and Agents,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,100%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
92,1960,Male,"Transport, Postal and Warehousing",Transport Support Services,Professionals,Education Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
93,1963,Male,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
94,1986,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Sales ,Sales Assistants and Salespersons,Between 20 and 199,No,Other one family household,Between 6 and 12 months,Metro,10%,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,
95,2000,Male,Education and Training,Preschool and School Education,Professionals,Education Professionals,Between 20 and 199,No,Group household,Between 6 and 12 months,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
96,1971,Male,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Representatives and Agents,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Regional,50%,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,,,,
97,1970,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,ICT Professionals,Between 20 and 199,No,Single person,Between 6 and 12 months,Metro,100%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
98,1964,Male,Retail Trade,Food Retailing,Professionals,Education Professionals,More than 200,No,Single person,More than 5 years,Metro,0%,NA,NA,NA,NA,NA,NA,,,,
99,1960,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Clerical and administrative ,Personal Assistants and Secretaries,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,10%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,
100,1962,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Managers,"Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Single person,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
101,1974,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,
102,1959,Male,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,60%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
103,1955,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Other one family household,More than 5 years,Metro,10%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
